web-scraper-order,web-scraper-start-url,name,name-href
"1611147903-262","https://gs.statcounter.com/social-media-stats/all/afghanistan","Botswana","https://gs.statcounter.com/social-media-stats/all/botswana"
"1611147903-277","https://gs.statcounter.com/social-media-stats/all/afghanistan","Christmas Island","https://gs.statcounter.com/social-media-stats/all/christmas-island"
"1611147903-305","https://gs.statcounter.com/social-media-stats/all/afghanistan","French Guiana","https://gs.statcounter.com/social-media-stats/all/french-guiana"
"1611147903-271","https://gs.statcounter.com/social-media-stats/all/afghanistan","Cape Verde","https://gs.statcounter.com/social-media-stats/all/cape-verde"
"1611147903-352","https://gs.statcounter.com/social-media-stats/all/afghanistan","Lithuania","https://gs.statcounter.com/social-media-stats/all/lithuania"
"1611147903-290","https://gs.statcounter.com/social-media-stats/all/afghanistan","Djibouti","https://gs.statcounter.com/social-media-stats/all/djibouti"
"1611147903-373","https://gs.statcounter.com/social-media-stats/all/afghanistan","Montserrat","https://gs.statcounter.com/social-media-stats/all/montserrat"
"1611147903-350","https://gs.statcounter.com/social-media-stats/all/afghanistan","Libya","https://gs.statcounter.com/social-media-stats/all/libya"
"1611147903-434","https://gs.statcounter.com/social-media-stats/all/afghanistan","Swaziland","https://gs.statcounter.com/social-media-stats/all/swaziland"
"1611147903-341","https://gs.statcounter.com/social-media-stats/all/afghanistan","Kenya","https://gs.statcounter.com/social-media-stats/all/kenya"
"1611147903-386","https://gs.statcounter.com/social-media-stats/all/afghanistan","Nigeria","https://gs.statcounter.com/social-media-stats/all/nigeria"
"1611147903-419","https://gs.statcounter.com/social-media-stats/all/afghanistan","Senegal","https://gs.statcounter.com/social-media-stats/all/senegal"
"1611147903-452","https://gs.statcounter.com/social-media-stats/all/afghanistan","Uganda","https://gs.statcounter.com/social-media-stats/all/uganda"
"1611147903-361","https://gs.statcounter.com/social-media-stats/all/afghanistan","Malta","https://gs.statcounter.com/social-media-stats/all/malta"
"1611147903-325","https://gs.statcounter.com/social-media-stats/all/afghanistan","Honduras","https://gs.statcounter.com/social-media-stats/all/honduras"
"1611147903-336","https://gs.statcounter.com/social-media-stats/all/afghanistan","Jamaica","https://gs.statcounter.com/social-media-stats/all/jamaica"
"1611147903-331","https://gs.statcounter.com/social-media-stats/all/afghanistan","Iraq","https://gs.statcounter.com/social-media-stats/all/iraq"
"1611147903-339","https://gs.statcounter.com/social-media-stats/all/afghanistan","Jordan","https://gs.statcounter.com/social-media-stats/all/jordan"
"1611147903-287","https://gs.statcounter.com/social-media-stats/all/afghanistan","Cyprus","https://gs.statcounter.com/social-media-stats/all/cyprus"
"1611147903-243","https://gs.statcounter.com/social-media-stats/all/afghanistan","Antigua And Barbuda","https://gs.statcounter.com/social-media-stats/all/antigua-and-barbuda"
"1611147903-359","https://gs.statcounter.com/social-media-stats/all/afghanistan","Maldives","https://gs.statcounter.com/social-media-stats/all/maldives"
"1611147903-406","https://gs.statcounter.com/social-media-stats/all/afghanistan","Reunion","https://gs.statcounter.com/social-media-stats/all/reunion"
"1611147903-456","https://gs.statcounter.com/social-media-stats/all/afghanistan","Uzbekistan","https://gs.statcounter.com/social-media-stats/all/uzbekistan"
"1611147903-255","https://gs.statcounter.com/social-media-stats/all/afghanistan","Belgium","https://gs.statcounter.com/social-media-stats/all/belgium"
"1611147903-430","https://gs.statcounter.com/social-media-stats/all/afghanistan","Spain","https://gs.statcounter.com/social-media-stats/all/spain"
